,XS_Name
329,b'Mississippi      Mainstem 1       819886.9'
330,b'Mississippi      Mainstem 1       817276.6'
331,b'Mississippi      Mainstem 1       814144.6'
332,b'Mississippi      Mainstem 1       809670.8'
333,b'Mississippi      Mainstem 1       804333.6'
334,b'Mississippi      Mainstem 1       800619.6'
335,b'Mississippi      Mainstem 1       795845.2'
336,b'Mississippi      Mainstem 1       791694.4'
337,b'Mississippi      Mainstem 1       786687'
338,b'Mississippi      Mainstem 1       781628.7'
339,b'Mississippi      Mainstem 1       776034.5'
340,b'Mississippi      Mainstem 1       770393.7'
341,b'Mississippi      Mainstem 1       766494.5'
342,b'Mississippi      Mainstem 1       762830.4'
343,b'Mississippi      Mainstem 1       758395.4'
344,b'Mississippi      Mainstem 1       751958.1'
345,b'Mississippi      Mainstem 1       745615.3'
346,b'Mississippi      Mainstem 1       740080.3'
347,b'Mississippi      Mainstem 1       734235.9'
348,b'Mississippi      Mainstem 1       728952.9'
349,b'Mississippi      Mainstem 1       723235.1'
350,b'Mississippi      Mainstem 1       717538.1'
351,b'Mississippi      Mainstem 1       712109.5'
352,b'Mississippi      Mainstem 1       706447.3'
353,b'Mississippi      Mainstem 1       700870.2'
354,b'Mississippi      Mainstem 1       696212.5'
355,b'Mississippi      Mainstem 1       691661.1'
356,b'Mississippi      Mainstem 1       687947.4'
357,b'Mississippi      Mainstem 1       683558.2'
358,b'Mississippi      Mainstem 1       678104.1'
359,b'Mississippi      Mainstem 1       672176.8'
360,b'Mississippi      Mainstem 1       667167.1'
361,b'Mississippi      Mainstem 1       663167'
362,b'Mississippi      Mainstem 1       659972'
363,b'Mississippi      Mainstem 1       656802.3'
364,b'Mississippi      Mainstem 1       652010.7'
365,b'Mississippi      Mainstem 1       648126.5'
366,b'Mississippi      Mainstem 1       644538.3'
367,b'Mississippi      Mainstem 1       639528.4'
368,b'Mississippi      Mainstem 1       633793.1'
369,b'Mississippi      Mainstem 1       628053.1'
370,b'Mississippi      Mainstem 1       621488.8'
371,b'Mississippi      Mainstem 1       615856.2'
372,b'Mississippi      Mainstem 1       610806.3'
373,b'Mississippi      Mainstem 1       605872.9'
374,b'Mississippi      Mainstem 1       601534'
375,b'Mississippi      Mainstem 1       595736.6'
